"Title","Description","Status","Priority","Estimate","Labels"
"M1-T20 · Validación de período activo único por CCT × empresa","Constraint a nivel app: al crear/clonar paritaria, cerrar vigencia_hasta del período anterior. Solo un período con vigencia_hasta=null por (company_id, cct_codigo).

**Criterio**: Test reproduce el caso. Mensaje de error si se intenta tener 2 activos.

Dependencias: → M1-T08.","Backlog","Medium","2","costos,M1,backend"
"M2-T01 · Migration e2: modelos de equipos y combustible","Migration con costo_equipo, item_mantenimiento, registro_combustible + relaciones inversas en vehicles y company.

**Criterio**: Migration aplica. Tipos regenerados.

Ver [diseno.md §2.3](./diseno.md).","Backlog","High","3","costos,M2,db,backend"
"M2-T02 · Tipos compartidos equipo y combustible","equipo.types.ts y combustible.types.ts con CostoEquipoInput, ItemMantInput, VehiculoConCosto, RegistroCombustibleInput.","Backlog","Medium","2","costos,M2,backend"
"M2-T03 · Motor de amortización y mantenimiento","calcular-amortizacion.ts y calcular-mantenimiento.ts con funciones puras según diseño §5.2. Tests con valores reales.

**Criterio**: PECOM 319M valor compra → costo mensual $7,794,945. AESA 247M → $6,656,716.

Dependencias: → M2-T01.","Backlog","High","4","costos,M2,backend,golden-test"
"M2-T04 · Server Actions equipos","equipos/actions.server.ts con listVehiculosConCosto, getCostoEquipo, upsertCostoEquipo, CRUD de items, bulkAddItemsMantenimiento.

**Criterio**: Reusa vehicles existentes. Tests integración. Scope por companyId.

Dependencias: → M2-T01, M2-T03.","Backlog","High","4","costos,M2,backend"
"M2-T05 · Server Actions combustible","combustible/actions.server.ts con listRegistrosCombustible, upsertRegistroCombustible, deleteRegistroCombustible. Constraint único servicio+vehicle+período.

**Criterio**: Tests CRUD.

Dependencias: → M2-T01.","Backlog","Medium","2","costos,M2,backend"
"M2-T06 · UI: TablaEquiposCosto + ResumenCostoEquipo","DataTable de vehículos con columnas: vehículo, valor compra, costo mensual calculado, items count. Click → detalle.

**Criterio**: Costo mensual calculado en server.

Dependencias: → M2-T04.","Backlog","Medium","4","costos,M2,frontend"
"M2-T07 · UI: FormCostoEquipo + tabla de items","Página /dashboard/costos/equipos/[vehicleId]. Form de costo_equipo arriba + DataTable de items abajo con CRUD.

**Criterio**: Form valida. Items con feedback inmediato.

Dependencias: → M2-T04, M2-T06.","Backlog","Medium","4","costos,M2,frontend"
"M2-T08 · UI: ImportarItemsDialog (carga rápida)","Dialog que acepta CSV/JSON pegado con items. Parser tolerante. Preview antes de insertar.

**Criterio**: Carga 30+ items en una operación. Manejo de errores.

Dependencias: → M2-T07.","Backlog","Medium","3","costos,M2,frontend"
"M2-T09 · UI: Combustible (lista + form mensual)","Página /dashboard/costos/combustible con DataTable. Form mensual editable. Selector de servicio.

**Criterio**: Carga mensual ágil. Suma agregada por servicio.

Dependencias: → M2-T05.","Backlog","Medium","4","costos,M2,frontend"
"M2-T10 · Tests golden: combustible PECOM","Test reproduciendo combustible PECOM Jun25: 950 lts × 1596 + 47.5 lts × 3227.5 = $1,669,506.

Dependencias: → M2-T05.","Backlog","High","2","costos,M2,testing,golden-test"
"M3-T01 · Migration e3: servicio_contrato + MOD + OCP","Migration con servicio_contrato (FK a config_cct), asignacion_mod (FK a categoria_cct), asignacion_equipo_servicio, item_ocp + relaciones inversas en customers, employees, vehicles, company, config_cct, categoria_cct.

**Criterio**: Migration aplica. Tipos regenerados.

Ver [diseno.md §2.4](./diseno.md).","Backlog","Urgent","4","costos,M3,db,backend,bloqueante"
"M3-T02 · Tipos compartidos servicio, mod, ocp","servicio.types.ts, mod.types.ts, ocp.types.ts con todos los tipos del diseño §10.2.","Backlog","Medium","3","costos,M3,backend"
"M3-T03 · Server Actions servicios (CRUD)","servicios/actions.server.ts con listServicios, getServicio, createServicio, updateServicio, deleteServicio, asignarEquiposServicio. Validar customer_id y config_cct_id pertenecen a la empresa.

**Criterio**: Tests integración con scope multi-tenant.

Dependencias: → M3-T01.","Backlog","High","4","costos,M3,backend"
"M3-T04 · Server Actions MOD (asignaciones)","mod/actions.server.ts con CRUD de asignacion_mod. Validar que categoria_cct_id pertenece al CCT del servicio. Manejo de overrides_calculo JSON.

**Criterio**: Si la categoría no es del CCT del servicio, rechazar. Tests.

Dependencias: → M3-T03.","Backlog","High","3","costos,M3,backend"
"M3-T05 · Server Actions OCP","ocp/actions.server.ts con CRUD de items. Agrupación por grupo.

Dependencias: → M3-T01.","Backlog","Medium","2","costos,M3,backend"
"M3-T06 · Motor MOD del servicio (calcular-mod.ts)","Implementar calcularMOD(servicioId, periodo) según §6.2. Itera asignaciones, construye contexto, invoca motor de conceptos, suma. Tests integración.

**Criterio**: ResumenMOD completo. Coincide con planillas PECOM y AESA.

Dependencias: → M1-T06, M3-T04.","Backlog","Urgent","6","costos,M3,backend,bloqueante"
"M3-T07 · Motor OCP (calcular-ocp.ts)","calcularOCP(servicioId) según §6.3. Tests.

**Criterio**: Test golden contra PECOM ($522,447) y AESA ($486,939).

Dependencias: → M3-T05.","Backlog","High","2","costos,M3,backend"
"M3-T08 · UI: Listado de servicios + crear","Página /dashboard/costos/servicios con DataTable. Sheet 'Nuevo servicio' (customer, CCT, fechas, márgenes, config_servicio).

**Criterio**: Lista y crea. Filtros por customer y estado.

Dependencias: → M3-T03.","Backlog","Medium","4","costos,M3,frontend"
"M3-T09 · UI: Detalle de servicio (tabs container)","Página /dashboard/costos/servicios/[id] con tabs: General, MOD, OCP, Equipos, Composición (placeholder). Layout shadcn Tabs.

Dependencias: → M3-T08.","Backlog","Medium","4","costos,M3,frontend"
"M3-T10 · UI: Tab MOD (asignaciones + resumen)","DataTable de asignaciones (empleado, categoría, antigüedad, afectación, hs estimadas). Sheet con selector de empleado, categoría (filtrada por CCT), inputs de overrides. Card 'Resumen MOD' con desglose por chofer + total.

**Criterio**: Suma del resumen coincide con motor. Edición re-calcula.

Dependencias: → M3-T06, M3-T09.","Backlog","High","6","costos,M3,frontend"
"M3-T11 · UI: Tab OCP (items + resumen)","DataTable agrupado por grupo. CRUD inline. Card 'Resumen OCP' con totales por grupo y total general.

Dependencias: → M3-T07, M3-T09.","Backlog","Medium","4","costos,M3,frontend"
"M3-T12 · UI: Tab Equipos (asignaciones + resumen)","DataTable de asignaciones de equipos. Form con selector de vehículo (con costo_equipo cargado), afectación, km mensuales.

**Criterio**: Suma de costo mensual de equipos coincide con planilla.

Dependencias: → M3-T03, M3-T09.","Backlog","Medium","3","costos,M3,frontend"
"M3-T13 · UI: Páginas transversales mano-de-obra y otros-costos-personal","Páginas listado transversales con filtro por servicio.

Dependencias: → M3-T10, M3-T11.","Backlog","Medium","3","costos,M3,frontend"
"M3-T14 · Test golden: bruto MOD coincide con bruto recibo (3 choferes) [P-2]","Test que arma servicio fictio con los 3 choferes Bide/Guiñazu/Moragues con sus categorías y antigüedades, y valida que calcularMOD produce un bruto remunerativo idéntico al de cada recibo ±$0.01. **Criterio del HITO P-2**.

Dependencias: → M3-T06, M1-T19.","Backlog","Urgent","4","costos,M3,testing,golden-test,bloqueante"
"M3-T15 · Cobertura ≥80% de motor MOD/OCP","Asegurar cobertura ≥80% en calcular-mod.ts, calcular-ocp.ts, motor-conceptos.ts. Agregar tests faltantes.

Dependencias: → M3-T14.","Backlog","High","3","costos,M3,testing"
"M4-T01 · Migration e4: composición + outputs","Migration con composicion_costo, tipo_output_servicio, output_composicion. Relaciones inversas.

Ver [diseno.md §2.5](./diseno.md).","Backlog","High","3","costos,M4,db,backend"
"M4-T02 · Tipos compartidos composición","composicion.types.ts con ComposicionDetalle, TipoOutputInput, FormulaOutput (discriminated union), ResumenEquipos, ResumenCombustible.","Backlog","Medium","2","costos,M4,backend"
"M4-T03 · Motor de composición (calcular-composicion.ts)","calcularComposicion(servicioId, periodo) que llama a los 4 sub-motores (MOD/OCP/Equipos/Combustible), suma, aplica márgenes con divisor + licencia ordenanza.

**Criterio**: Test golden PECOM Jun25 → $23,560,093.

Dependencias: → M3-T06, M3-T07, M2-T03.
Ver [diseno.md §7.2](./diseno.md).","Backlog","Urgent","6","costos,M4,backend,bloqueante"
"M4-T04 · Calculador de outputs derivados","calcular-outputs.ts con dispatcher por tipo de fórmula (precio_div_kms_x_factor, precio_div_dias, precio_div_dias_x_horas, pct_sobre_precio).

**Criterio**: Tests por tipo. Ingeniería inversa de los factores PECOM (km excedente, día feriado, hora extra, descuento 7%) documentada.

Dependencias: → M4-T03.","Backlog","High","4","costos,M4,backend"
"M4-T05 · Server Actions composición","composicion/actions.server.ts con listComposiciones, getComposicion, calcularComposicion, persistirComposicion, regenerarPDF, getSignedUrlPDF.

**Criterio**: Tests integración. Idempotencia.

Dependencias: → M4-T03, M4-T04.","Backlog","High","4","costos,M4,backend"
"M4-T06 · Server Actions tipo_output_servicio","CRUD de outputs configurables por servicio.","Backlog","Medium","2","costos,M4,backend"
"M4-T07 · PDF template composición (@react-pdf/renderer)","composicion-template.tsx con secciones: Header (datos empresa+cliente+servicio), Costo Industrial, Márgenes, Precios + outputs. renderComposicionPDF(detalle) que devuelve Buffer.

**Criterio**: Test que renderiza PDF y verifica strings. Visual coherente con planilla.

Dependencias: → M4-T03.
Ver [diseno.md §7.4](./diseno.md).","Backlog","High","6","costos,M4,pdf,frontend"
"M4-T08 · Helper Storage para PDFs","shared/utils/storage.ts con subirPDF(path, buffer) y getSignedUrlPDF(path).

Dependencias: → M0-T09.","Backlog","High","3","costos,M4,backend"
"M4-T09 · UI: Listado de composiciones","Página /dashboard/costos/composicion con DataTable. Filtros por servicio y período. Acción 'Nueva composición'.

Dependencias: → M4-T05.","Backlog","Medium","3","costos,M4,frontend"
"M4-T10 · UI: Detalle de composición + exportar PDF","Página /dashboard/costos/composicion/[id] con cards de Resumen Industrial, Márgenes, Precios + Outputs. Botón 'Exportar PDF'. Botón 'Recalcular' (advierte si difiere del snapshot).

Dependencias: → M4-T05, M4-T07, M4-T08.","Backlog","High","6","costos,M4,frontend"
"M4-T11 · UI: Config outputs por servicio","ConfigOutputsServicio.tsx con CRUD de tipo_output_servicio con form dinámico según tipo de fórmula.

Dependencias: → M4-T06.","Backlog","Medium","4","costos,M4,frontend"
"M4-T12 · UI: Embed composición en tab del servicio","Tab 'Composición' en /dashboard/costos/servicios/[id] que muestra composiciones de ese servicio + botón 'Generar composición de período YYYY-MM'.

Dependencias: → M3-T09, M4-T10.","Backlog","Medium","3","costos,M4,frontend"
"M4-T13 · Tests golden: composición PECOM y AESA","Test PECOM Jun25 ($23,560,093) y AESA Abr26 ($27,183,638). Verificar outputs específicos de cada servicio.

Dependencias: → M4-T03, M4-T04.","Backlog","Urgent","4","costos,M4,testing,golden-test,bloqueante"
"M5-T01 · Migration e5: fórmula polinómica","Migration con formula_polinomica, componente_formula, periodo_formula_polinomica, valor_componente_periodo + enum tipo_indice_polinomico.

Ver [diseno.md §2.6](./diseno.md).","Backlog","High","3","costos,M5,db,backend"
"M5-T02 · Tipos compartidos fórmula polinómica","formula-polinomica.types.ts con CreateFormulaInput, ComponenteInput, CalculoPeriodoPolinomico.","Backlog","Medium","2","costos,M5,backend"
"M5-T03 · Motor polinómico (calcular-formula-polinomica.ts)","calcularPeriodoFormula, calcularSerieFormula, validarPonderaciones según diseño §8.2. Implementar P = PB × (1 + Σ Pi × ΔIi%) con decimal.js. Manejo de retroactivos.

**Criterio**: Test golden PECOM Jul25 → ajuste 5.769%, valor 20,016,571.

Dependencias: → M5-T01.","Backlog","Urgent","6","costos,M5,backend,bloqueante"
"M5-T04 · Server Actions fórmula","formula-polinomica/actions.server.ts con CRUD de fórmula y componentes, inicializarPonderacionesDesdeComposicion (lee composición más reciente y arma 4 componentes I001-I004).

**Criterio**: Validación de ponderaciones suma 1.0. Tests.

Dependencias: → M5-T03.","Backlog","High","4","costos,M5,backend"
"M5-T05 · Server Actions períodos polinómica","upsertPeriodo, listPeriodos, deletePeriodo. Cálculo automático de valor_ajustado y retroactivo_acumulado al cargar índices.

**Criterio**: Test reproduciendo serie completa Jun25–Feb26.

Dependencias: → M5-T03.","Backlog","High","4","costos,M5,backend"
"M5-T06 · UI: Lista de fórmulas y configuración","/dashboard/costos/formula-polinomica con listado de servicios + estado de fórmula. Click → detalle.

Dependencias: → M5-T04.","Backlog","Medium","4","costos,M5,frontend"
"M5-T07 · UI: Detalle fórmula con componentes","Card config + Card componentes (tabla con ponderaciones + sumatoria visible, rojo si ≠ 1.0). Botón 'Inicializar desde composición'.

Dependencias: → M5-T06.","Backlog","Medium","5","costos,M5,frontend"
"M5-T08 · UI: Tabla de períodos con índices","DataTable con columnas: período, valores de cada índice, ajuste %, valor ajustado, importe certificado, retroactivo. Form para cargar/editar índices.

**Criterio**: Cálculo en cada cambio.

Dependencias: → M5-T05, M5-T07.","Backlog","High","5","costos,M5,frontend"
"M5-T09 · UI: Gráfico de evolución (recharts)","GraficoEvolucionTarifa.tsx con recharts. Línea de valor_ajustado + línea de importe_certificado por período. Tooltip con retroactivo.

Dependencias: → M5-T08.","Backlog","Medium","4","costos,M5,frontend"
"M5-T10 · UI: Resumen de retroactivos","Card que agrega retroactivos pendientes por servicio/período. Útil para gestión comercial.

Dependencias: → M5-T08.","Backlog","Medium","3","costos,M5,frontend"
"M5-T11 · Test golden: serie completa PECOM Jun25–Feb26 [P-3]","Test que carga fórmula PECOM con ponderaciones y precio_base reales, simula los 9 períodos con sus índices y valida cada valor_ajustado ±$0.01. **Criterio del HITO P-3**.

Dependencias: → M5-T03, M5-T05.","Backlog","Urgent","4","costos,M5,testing,golden-test,bloqueante"
"M6-T01 · Migration e6: liquidación","Migration con liquidacion_sueldo (FK a categoria_cct) + enum estado_liquidacion. Relaciones inversas.

Ver [diseno.md §2.7](./diseno.md).","Backlog","High","3","costos,M6,db,backend"
"M6-T02 · Tipos compartidos liquidación","liquidacion.types.ts con InputsLiquidacion, LiquidacionResultado, LiquidacionDetalle.","Backlog","Medium","2","costos,M6,backend"
"M6-T03 · Motor de liquidación (calcular-liquidacion-cct.ts)","calcularLiquidacion(employeeId, categoriaCCTId, cctId, periodo, inputs). Reusa motor de conceptos con ámbito 'liquidacion'. Sub-cálculo de SAC con sus aportes.

**Criterio**: Tests golden contra los 3 recibos. Neto coincide ±$0.01.

Dependencias: → M1-T06.
Ver [diseno.md §9.2](./diseno.md).","Backlog","Urgent","6","costos,M6,backend,bloqueante"
"M6-T04 · Server Actions liquidación","liquidacion/actions.server.ts con listLiquidaciones, getLiquidacion, generarBorrador, actualizarBorrador, recalcularLiquidacion, confirmarLiquidacion, marcarPagada.

**Criterio**: Estados borrador→confirmada→pagada. No editar inputs si estado≠borrador.

Dependencias: → M6-T03.","Backlog","High","5","costos,M6,backend"
"M6-T05 · Bulk: generar borradores de nómina del mes","Server action que toma un período y genera borradores para todos los empleados con asignación activa. Manejo de errores parciales.

**Criterio**: Test integración con 5 empleados. Reporte de éxitos/fallos.

Dependencias: → M6-T04.","Backlog","High","4","costos,M6,backend"
"M6-T06 · PDF template recibo (@react-pdf/renderer)","recibo-template.tsx con header empresa, datos empleado, tablas de conceptos rem+no-rem+descuentos, tabla SAC, totales, firma. A4 portrait.

**Criterio**: PDF coincide con estructura del recibo Bide. Valores correctos.

Dependencias: → M6-T03.","Backlog","High","6","costos,M6,pdf,frontend"
"M6-T07 · Server Actions PDF recibo","generarReciboPDF, getSignedUrlRecibo. Subida a costos-pdfs/liquidaciones/{companyId}/{employeeId}/{periodo}.pdf.

Dependencias: → M6-T06, M4-T08.","Backlog","High","2","costos,M6,backend,pdf"
"M6-T08 · UI: Listado de liquidaciones","/dashboard/costos/liquidacion-sueldos con DataTable. Filtros por período, estado, empleado. Botones 'Nueva liquidación' y 'Generar nómina del mes'.

Dependencias: → M6-T04.","Backlog","Medium","4","costos,M6,frontend"
"M6-T09 · UI: Form nueva liquidación + bulk","Sheet con selector de empleado, período, inputs (días, hs nocturnas, hs extras 50/100, días feriado, días desarraigo, inputs extra JSON). Botón 'Generar nómina del mes' con confirmación.

Dependencias: → M6-T05, M6-T08.","Backlog","High","5","costos,M6,frontend"
"M6-T10 · UI: Detalle liquidación + preview recibo","Página /dashboard/costos/liquidacion-sueldos/[id] con datos del empleado, inputs editables (si borrador), card 'Preview del recibo' con render HTML idéntico al PDF, botones según estado.

**Criterio**: Preview HTML coincide con PDF. Flujo de estados visible.

Dependencias: → M6-T04, M6-T07.","Backlog","High","6","costos,M6,frontend"
"M6-T11 · UI: Resumen de nómina (totales agregados)","Card con totales del período: total bruto, total descuentos, total neto, conteo de liquidaciones por estado.

Dependencias: → M6-T08.","Backlog","Medium","3","costos,M6,frontend"
"M6-T12 · Tests golden: 3 recibos reales [P-4]","Test que reproduce las 3 liquidaciones reales con sus inputs y valida neto_a_pagar ±$0.01 (Bide $3,063,102 / Guiñazu $2,733,369 / Moragues $4,089,370). **Criterio del HITO P-4**.

Dependencias: → M6-T03.","Backlog","Urgent","4","costos,M6,testing,golden-test,bloqueante"
"M6-T13 · Auditoría: log de generación/confirmación de liquidación","Registrar en tabla de auditoría cada confirmación: quién, cuándo, qué liquidación. Verificar si existe debug_logs o similar.

**Criterio**: Tests verifican el log se escribe.","Backlog","Medium","2","costos,M6,backend"
